,모델,Recall,Precision
238,피크 직접분류,0.9935897435897436,0.14903846153846154
239,피크 직접분류,0.9935897435897436,0.14918190567853706
240,피크 직접분류,0.9935897435897436,0.14932562620423892
241,피크 직접분류,0.9935897435897436,0.14946962391513982
242,피크 직접분류,0.9935897435897436,0.14961389961389962
243,피크 직접분류,0.9935897435897436,0.1497584541062802
244,피크 직접분류,0.9935897435897436,0.14990328820116053
245,피크 직접분류,0.9935897435897436,0.15004840271055178
246,피크 직접분류,0.9935897435897436,0.1501937984496124
247,피크 직접분류,0.9935897435897436,0.15033947623666344
248,피크 직접분류,0.9935897435897436,0.15048543689320387
249,피크 직접분류,0.9935897435897436,0.15063168124392615
250,피크 직접분류,0.9935897435897436,0.1507782101167315
251,피크 직접분류,0.9935897435897436,0.15092502434274585
252,피크 직접분류,0.9935897435897436,0.15107212475633527
253,피크 직접분류,0.9935897435897436,0.15121951219512195
254,피크 직접분류,0.9935897435897436,0.1513671875
255,피크 직접분류,0.9935897435897436,0.15151515151515152
256,피크 직접분류,0.9935897435897436,0.15166340508806261
257,피크 직접분류,0.9935897435897436,0.15181194906953965
258,피크 직접분류,0.9935897435897436,0.15196078431372548
259,피크 직접분류,0.9935897435897436,0.1521099116781158
260,피크 직접분류,0.9935897435897436,0.15225933202357564
261,피크 직접분류,0.9935897435897436,0.15240904621435594
262,피크 직접분류,0.9935897435897436,0.15255905511811024
263,피크 직접분류,0.9935897435897436,0.15270935960591134
264,피크 직접분류,0.9935897435897436,0.15285996055226825
265,피크 직접분류,0.9935897435897436,0.15301085883514315
266,피크 직접분류,0.9935897435897436,0.15316205533596838
267,피크 직접분류,0.9935897435897436,0.1533135509396637
268,피크 직접분류,0.9935897435897436,0.15346534653465346
269,피크 직접분류,0.9935897435897436,0.15361744301288405
270,피크 직접분류,0.9935897435897436,0.15376984126984128
271,피크 직접분류,0.9935897435897436,0.15392254220456802
272,피크 직접분류,0.9935897435897436,0.1540755467196819
273,피크 직접분류,0.9935897435897436,0.15422885572139303
274,피크 직접분류,0.9935897435897436,0.15438247011952191
275,피크 직접분류,0.9935897435897436,0.15453639082751744
276,피크 직접분류,0.9935897435897436,0.15469061876247506
277,피크 직접분류,0.9935897435897436,0.15484515484515485
278,피크 직접분류,0.9935897435897436,0.155
279,피크 직접분류,0.9935897435897436,0.15515515515515516
280,피크 직접분류,0.9935897435897436,0.15531062124248496
281,피크 직접분류,0.9935897435897436,0.15546639919759278
282,피크 직접분류,0.9935897435897436,0.15562248995983935
283,피크 직접분류,0.9935897435897436,0.15577889447236182
284,피크 직접분류,0.9935897435897436,0.15593561368209255
285,피크 직접분류,0.9935897435897436,0.15609264853977844
286,피크 직접분류,0.9935897435897436,0.15625
287,피크 직접분류,0.9935897435897436,0.15640766902119072
288,피크 직접분류,0.9935897435897436,0.15656565656565657
289,피크 직접분류,0.9935897435897436,0.15672396359959556
290,피크 직접분류,0.9935897435897436,0.15688259109311742
291,피크 직접분류,0.9935897435897436,0.15704154002026344
292,피크 직접분류,0.9935897435897436,0.15720081135902636
293,피크 직접분류,0.9935897435897436,0.15736040609137056
294,피크 직접분류,0.9935897435897436,0.15752032520325204
295,피크 직접분류,0.9935897435897436,0.15768056968463887
296,피크 직접분류,0.9935897435897436,0.15784114052953158
297,피크 직접분류,0.9935897435897436,0.1580020387359837
298,피크 직접분류,0.9935897435897436,0.15816326530612246
299,피크 직접분류,0.9935897435897436,0.15832482124616956
300,피크 직접분류,0.9935897435897436,0.15848670756646216
301,피크 직접분류,0.9935897435897436,0.1586489252814739
302,피크 직접분류,0.9935897435897436,0.15881147540983606
303,피크 직접분류,0.9935897435897436,0.15897435897435896
304,피크 직접분류,0.9935897435897436,0.1591375770020534
305,피크 직접분류,0.9935897435897436,0.1593011305241521
306,피크 직접분류,0.9935897435897436,0.15946502057613168
307,피크 직접분류,0.9935897435897436,0.1596292481977343
308,피크 직접분류,0.9935897435897436,0.15979381443298968
309,피크 직접분류,0.9935897435897436,0.15995872033023736
310,피크 직접분류,0.9935897435897436,0.16012396694214875
311,피크 직접분류,0.9935897435897436,0.16028955532574973
312,피크 직접분류,0.9935897435897436,0.16045548654244307
313,피크 직접분류,0.9935897435897436,0.16062176165803108
314,피크 직접분류,0.9935897435897436,0.1607883817427386
315,피크 직접분류,0.9935897435897436,0.16095534787123572
316,피크 직접분류,0.9935897435897436,0.16112266112266113
317,피크 직접분류,0.9935897435897436,0.16129032258064516
318,피크 직접분류,0.9935897435897436,0.16145833333333334
319,피크 직접분류,0.9935897435897436,0.1616266944734098
320,피크 직접분류,0.9935897435897436,0.1617954070981211
321,피크 직접분류,0.9935897435897436,0.1619644723092999
322,피크 직접분류,0.9935897435897436,0.16213389121338911
323,피크 직접분류,0.9935897435897436,0.16230366492146597
324,피크 직접분류,0.9935897435897436,0.16247379454926625
325,피크 직접분류,0.9935897435897436,0.1626442812172088
326,피크 직접분류,0.9935897435897436,0.16281512605042017
327,피크 직접분류,0.9935897435897436,0.16298633017875921
328,피크 직접분류,0.9935897435897436,0.1631578947368421
329,피크 직접분류,0.9935897435897436,0.16332982086406744
330,피크 직접분류,0.9935897435897436,0.16350210970464135
331,피크 직접분류,0.9935897435897436,0.16367476240760295
332,피크 직접분류,0.9935897435897436,0.1638477801268499
333,피크 직접분류,0.9935897435897436,0.164021164021164
334,피크 직접분류,0.9935897435897436,0.16436903499469777
335,피크 직접분류,0.9935897435897436,0.16454352441613587
336,피크 직접분류,0.9935897435897436,0.1647183846971307
337,피크 직접분류,0.9935897435897436,0.16489361702127658
338,피크 직접분류,0.9935897435897436,0.1650692225772098
339,피크 직접분류,0.9935897435897436,0.1652452025586354
340,피크 직접분류,0.9935897435897436,0.16542155816435433
341,피크 직접분류,0.9935897435897436,0.1655982905982906
342,피크 직접분류,0.9935897435897436,0.1657754010695187
343,피크 직접분류,0.9935897435897436,0.16595289079229122
344,피크 직접분류,0.9935897435897436,0.16613076098606644
345,피크 직접분류,0.9935897435897436,0.16630901287553648
346,피크 직접분류,0.9935897435897436,0.16648764769065522
347,피크 직접분류,0.9935897435897436,0.16666666666666666
348,피크 직접분류,0.9935897435897436,0.1668460710441335
349,피크 직접분류,0.9935897435897436,0.16702586206896552
350,피크 직접분류,0.9935897435897436,0.16720604099244876
351,피크 직접분류,0.9935897435897436,0.1673866090712743
352,피크 직접분류,0.9935897435897436,0.16756756756756758
353,피크 직접분류,0.9935897435897436,0.16774891774891776
354,피크 직접분류,0.9935897435897436,0.16793066088840736
355,피크 직접분류,0.9935897435897436,0.1681127982646421
356,피크 직접분류,0.9935897435897436,0.16829533116178066
357,피크 직접분류,0.9935897435897436,0.16847826086956522
358,피크 직접분류,0.9871794871794872,0.16757344940152338
359,피크 직접분류,0.9871794871794872,0.16775599128540306
360,피크 직접분류,0.9871794871794872,0.16793893129770993
361,피크 직접분류,0.9807692307692307,0.16703056768558952
362,피크 직접분류,0.9807692307692307,0.16721311475409836
363,피크 직접분류,0.9807692307692307,0.1673960612691466
364,피크 직접분류,0.9807692307692307,0.16757940854326397
365,피크 직접분류,0.9807692307692307,0.16776315789473684
366,피크 직접분류,0.9807692307692307,0.16794731064763996
367,피크 직접분류,0.9807692307692307,0.16813186813186815
368,피크 직접분류,0.9807692307692307,0.16831683168316833
369,피크 직접분류,0.9807692307692307,0.1685022026431718
370,피크 직접분류,0.9807692307692307,0.16868798235942667
371,피크 직접분류,0.9807692307692307,0.16887417218543047
372,피크 직접분류,0.9807692307692307,0.16906077348066298
373,피크 직접분류,0.9807692307692307,0.16924778761061948
374,피크 직접분류,0.9807692307692307,0.16943521594684385
375,피크 직접분류,0.9807692307692307,0.1696230598669623
376,피크 직접분류,0.9807692307692307,0.16981132075471697
377,피크 직접분류,0.9807692307692307,0.17
378,피크 직접분류,0.9807692307692307,0.17018909899888765
379,피크 직접분류,0.9807692307692307,0.17037861915367483
380,피크 직접분류,0.9807692307692307,0.1705685618729097
381,피크 직접분류,0.9807692307692307,0.17075892857142858
382,피크 직접분류,0.9807692307692307,0.17094972067039105
383,피크 직접분류,0.9807692307692307,0.17114093959731544
384,피크 직접분류,0.9807692307692307,0.1713325867861142
385,피크 직접분류,0.9807692307692307,0.17152466367713004
386,피크 직접분류,0.9807692307692307,0.1717171717171717
387,피크 직접분류,0.9807692307692307,0.17191011235955056
388,피크 직접분류,0.9807692307692307,0.172103487064117
389,피크 직접분류,0.9807692307692307,0.17229729729729729
390,피크 직접분류,0.9807692307692307,0.17249154453213078
391,피크 직접분류,0.9807692307692307,0.172686230248307
392,피크 직접분류,0.9807692307692307,0.17288135593220338
393,피크 직접분류,0.9807692307692307,0.17307692307692307
394,피크 직접분류,0.9807692307692307,0.17327293318233294
395,피크 직접분류,0.9807692307692307,0.17346938775510204
396,피크 직접분류,0.9807692307692307,0.17366628830874006
397,피크 직접분류,0.9807692307692307,0.17386363636363636
398,피크 직접분류,0.9807692307692307,0.17406143344709898
399,피크 직접분류,0.9807692307692307,0.17425968109339407
400,피크 직접분류,0.9807692307692307,0.17445838084378562
401,피크 직접분류,0.9807692307692307,0.17465753424657535
402,피크 직접분류,0.9807692307692307,0.17485714285714285
403,피크 직접분류,0.9807692307692307,0.17505720823798626
404,피크 직접분류,0.9807692307692307,0.17525773195876287
405,피크 직접분류,0.9807692307692307,0.17545871559633028
406,피크 직접분류,0.9807692307692307,0.1756601607347876
407,피크 직접분류,0.9807692307692307,0.17586206896551723
